Variable,OR,CI,p
SA1: Symptom Threshold (codes 1–3 only — at least monthly symptoms),,,
"n = 58,657",,,
,,,
Age: 35–49 (ref: 18–34),0.77,"[0.71, 0.83]",< .001
Age: 50–64,0.46,"[0.42, 0.5]",< .001
Age: 65+,0.22,"[0.19, 0.25]",< .001
Sex: Female (ref: Male),1.69,"[1.57, 1.82]",< .001
Race: Hispanic (ref: NH White),0.92,"[0.83, 1.02]",0.095
Race: NH Black,1.01,"[0.89, 1.15]",0.872
Race: NH Asian,0.65,"[0.54, 0.78]",< .001
Race: NH AIAN,0.86,"[0.65, 1.13]",0.281
Race: NH Other/Multiracial,1.34,"[1.04, 1.72]",0.021
Education: < HS (ref: HS/GED),0.72,"[0.61, 0.86]",< .001
Education: Some College / Assoc.,1.3,"[1.18, 1.43]",< .001
Education: Bachelor’s,1.57,"[1.43, 1.74]",< .001
Education: Graduate,1.43,"[1.27, 1.6]",< .001
Orientation: Gay/Lesbian (ref: Straight),1.56,"[1.31, 1.86]",< .001
Orientation: Bisexual,2.64,"[2.35, 2.97]",< .001
Orientation: Queer/Questioning,2.18,"[1.83, 2.59]",< .001
Insurance: Uninsured (ref: Insured),2.72,"[2.45, 3.01]",< .001
Year: 2021 (ref: 2020),0.95,"[0.84, 1.07]",0.365
Year: 2022,1.11,"[0.98, 1.25]",0.100
Year: 2023,1.27,"[1.13, 1.42]",< .001
Year: 2024,1.35,"[1.21, 1.51]",< .001
,,,
