Variable,OR,CI,p
"SA5: Unweighted Regression (glm, no survey weights or design)",,,
"n = 106,151",,,
,,,
Age: 35–49 (ref: 18–34),0.67,"[0.63, 0.71]",< .001
Age: 50–64,0.37,"[0.34, 0.39]",< .001
Age: 65+,0.13,"[0.12, 0.15]",< .001
Sex: Female (ref: Male),1.95,"[1.85, 2.06]",< .001
Race: Hispanic (ref: NH White),0.87,"[0.81, 0.94]",< .001
Race: NH Black,0.86,"[0.78, 0.94]",< .001
Race: NH Asian,0.52,"[0.45, 0.59]",< .001
Race: NH AIAN,0.97,"[0.79, 1.18]",0.751
Race: NH Other/Multiracial,1.25,"[1.05, 1.48]",0.012
Education: < HS (ref: HS/GED),0.82,"[0.72, 0.93]",0.003
Education: Some College / Assoc.,1.42,"[1.32, 1.53]",< .001
Education: Bachelor’s,1.62,"[1.5, 1.75]",< .001
Education: Graduate,1.51,"[1.38, 1.65]",< .001
Orientation: Gay/Lesbian (ref: Straight),1.87,"[1.64, 2.13]",< .001
Orientation: Bisexual,2.95,"[2.68, 3.24]",< .001
Orientation: Queer/Questioning,2.78,"[2.43, 3.18]",< .001
Insurance: Uninsured (ref: Insured),2.4,"[2.22, 2.59]",< .001
Year: 2021 (ref: 2020),0.91,"[0.83, 0.99]",0.023
Year: 2022,1.12,"[1.03, 1.22]",0.006
Year: 2023,1.32,"[1.22, 1.44]",< .001
Year: 2024,1.38,"[1.28, 1.49]",< .001
,,,
