Year,n,Variable,OR,CI,p
2020,22048,Age: 35–49 (ref: 18–34),0.7,"[0.58, 0.85]",< .001
2020,22048,Age: 50–64,0.39,"[0.31, 0.49]",< .001
2020,22048,Age: 65+,0.18,"[0.14, 0.24]",< .001
2020,22048,Sex: Female (ref: Male),2.03,"[1.71, 2.42]",< .001
2020,22048,Race: Hispanic (ref: NH White),0.97,"[0.76, 1.25]",0.841
2020,22048,Race: NH Black,0.96,"[0.71, 1.28]",0.774
2020,22048,Race: NH Asian,0.41,"[0.26, 0.64]",< .001
2020,22048,Race: NH AIAN,0.68,"[0.37, 1.26]",0.220
2020,22048,Race: NH Other/Multiracial,1.41,"[0.65, 3.08]",0.387
2020,22048,Education: < HS (ref: HS/GED),0.81,"[0.56, 1.18]",0.277
2020,22048,Education: Some College / Assoc.,1.22,"[0.96, 1.54]",0.109
2020,22048,Education: Bachelor’s,1.7,"[1.34, 2.16]",< .001
2020,22048,Education: Graduate,1.53,"[1.17, 1.99]",0.002
2020,22048,Orientation: Gay/Lesbian (ref: Straight),1.31,"[0.77, 2.22]",0.320
2020,22048,Orientation: Bisexual,3.9,"[2.89, 5.26]",< .001
2020,22048,Orientation: Queer/Questioning,2.85,"[1.96, 4.16]",< .001
2020,22048,Insurance: Uninsured (ref: Insured),2.53,"[1.98, 3.23]",< .001
2021,20779,Age: 35–49 (ref: 18–34),0.6,"[0.5, 0.72]",< .001
2021,20779,Age: 50–64,0.34,"[0.28, 0.41]",< .001
2021,20779,Age: 65+,0.14,"[0.1, 0.19]",< .001
2021,20779,Sex: Female (ref: Male),2.0,"[1.69, 2.38]",< .001
2021,20779,Race: Hispanic (ref: NH White),0.8,"[0.63, 1]",0.055
2021,20779,Race: NH Black,0.78,"[0.59, 1.04]",0.087
2021,20779,Race: NH Asian,0.37,"[0.24, 0.57]",< .001
2021,20779,Race: NH AIAN,0.68,"[0.36, 1.3]",0.241
2021,20779,Race: NH Other/Multiracial,1.76,"[1.08, 2.86]",0.023
2021,20779,Education: < HS (ref: HS/GED),0.87,"[0.61, 1.26]",0.464
2021,20779,Education: Some College / Assoc.,1.39,"[1.11, 1.75]",0.005
2021,20779,Education: Bachelor’s,1.71,"[1.36, 2.14]",< .001
2021,20779,Education: Graduate,1.53,"[1.17, 2.01]",0.002
2021,20779,Orientation: Gay/Lesbian (ref: Straight),2.42,"[1.69, 3.48]",< .001
2021,20779,Orientation: Bisexual,4.04,"[3.11, 5.24]",< .001
2021,20779,Orientation: Queer/Questioning,2.68,"[1.78, 4.03]",< .001
2021,20779,Insurance: Uninsured (ref: Insured),2.55,"[2.02, 3.23]",< .001
2022,19602,Age: 35–49 (ref: 18–34),0.69,"[0.59, 0.82]",< .001
2022,19602,Age: 50–64,0.33,"[0.27, 0.4]",< .001
2022,19602,Age: 65+,0.15,"[0.11, 0.2]",< .001
2022,19602,Sex: Female (ref: Male),1.69,"[1.44, 1.98]",< .001
2022,19602,Race: Hispanic (ref: NH White),0.87,"[0.71, 1.06]",0.175
2022,19602,Race: NH Black,0.96,"[0.74, 1.24]",0.734
2022,19602,Race: NH Asian,0.52,"[0.36, 0.73]",< .001
2022,19602,Race: NH AIAN,0.64,"[0.32, 1.28]",0.204
2022,19602,Race: NH Other/Multiracial,1.09,"[0.68, 1.74]",0.730
2022,19602,Education: < HS (ref: HS/GED),0.86,"[0.59, 1.25]",0.436
2022,19602,Education: Some College / Assoc.,1.63,"[1.33, 2]",< .001
2022,19602,Education: Bachelor’s,1.88,"[1.52, 2.32]",< .001
2022,19602,Education: Graduate,1.71,"[1.33, 2.2]",< .001
2022,19602,Orientation: Gay/Lesbian (ref: Straight),2.04,"[1.42, 2.93]",< .001
2022,19602,Orientation: Bisexual,2.47,"[1.92, 3.18]",< .001
2022,19602,Orientation: Queer/Questioning,1.95,"[1.34, 2.83]",< .001
2022,19602,Insurance: Uninsured (ref: Insured),2.24,"[1.8, 2.79]",< .001
2023,20626,Age: 35–49 (ref: 18–34),0.67,"[0.58, 0.78]",< .001
2023,20626,Age: 50–64,0.38,"[0.31, 0.46]",< .001
2023,20626,Age: 65+,0.17,"[0.13, 0.21]",< .001
2023,20626,Sex: Female (ref: Male),1.75,"[1.52, 2]",< .001
2023,20626,Race: Hispanic (ref: NH White),0.77,"[0.64, 0.94]",0.012
2023,20626,Race: NH Black,1.02,"[0.81, 1.28]",0.857
2023,20626,Race: NH Asian,0.7,"[0.52, 0.95]",0.023
2023,20626,Race: NH AIAN,1.23,"[0.73, 2.06]",0.439
2023,20626,Race: NH Other/Multiracial,1.31,"[0.85, 2.01]",0.216
2023,20626,Education: < HS (ref: HS/GED),0.58,"[0.41, 0.83]",0.003
2023,20626,Education: Some College / Assoc.,1.3,"[1.09, 1.56]",0.004
2023,20626,Education: Bachelor’s,1.5,"[1.24, 1.82]",< .001
2023,20626,Education: Graduate,1.46,"[1.18, 1.8]",< .001
2023,20626,Orientation: Gay/Lesbian (ref: Straight),1.2,"[0.85, 1.68]",0.295
2023,20626,Orientation: Bisexual,3.13,"[2.47, 3.98]",< .001
2023,20626,Orientation: Queer/Questioning,3.06,"[2.17, 4.32]",< .001
2023,20626,Insurance: Uninsured (ref: Insured),2.2,"[1.8, 2.68]",< .001
2024,23096,Age: 35–49 (ref: 18–34),0.8,"[0.69, 0.93]",0.004
2024,23096,Age: 50–64,0.46,"[0.38, 0.55]",< .001
2024,23096,Age: 65+,0.11,"[0.08, 0.14]",< .001
2024,23096,Sex: Female (ref: Male),2.19,"[1.92, 2.5]",< .001
2024,23096,Race: Hispanic (ref: NH White),0.74,"[0.61, 0.89]",0.002
2024,23096,Race: NH Black,0.74,"[0.58, 0.93]",0.012
2024,23096,Race: NH Asian,0.49,"[0.35, 0.69]",< .001
2024,23096,Race: NH AIAN,1.13,"[0.68, 1.87]",0.648
2024,23096,Race: NH Other/Multiracial,1.06,"[0.69, 1.62]",0.784
2024,23096,Education: < HS (ref: HS/GED),0.78,"[0.57, 1.07]",0.123
2024,23096,Education: Some College / Assoc.,1.32,"[1.12, 1.54]",< .001
2024,23096,Education: Bachelor’s,1.5,"[1.24, 1.81]",< .001
2024,23096,Education: Graduate,1.44,"[1.17, 1.78]",< .001
2024,23096,Orientation: Gay/Lesbian (ref: Straight),2.46,"[1.8, 3.35]",< .001
2024,23096,Orientation: Bisexual,3.5,"[2.82, 4.35]",< .001
2024,23096,Orientation: Queer/Questioning,3.01,"[2.11, 4.29]",< .001
2024,23096,Insurance: Uninsured (ref: Insured),2.93,"[2.46, 3.49]",< .001
