Variable,OR,CI,p
SA3: SGM Binary Orientation (Straight vs. SGM collapsed),,,
"n = 106,151",,,
,,,
Age: 35–49 (ref: 18–34),0.69,"[0.64, 0.74]",< .001
Age: 50–64,0.37,"[0.34, 0.41]",< .001
Age: 65+,0.14,"[0.13, 0.16]",< .001
Sex: Female (ref: Male),1.96,"[1.84, 2.1]",< .001
Race: Hispanic (ref: NH White),0.81,"[0.74, 0.89]",< .001
Race: NH Black,0.87,"[0.78, 0.98]",0.022
Race: NH Asian,0.51,"[0.43, 0.59]",< .001
Race: NH AIAN,0.89,"[0.68, 1.17]",0.399
Race: NH Other/Multiracial,1.26,"[1.01, 1.58]",0.042
Education: < HS (ref: HS/GED),0.78,"[0.66, 0.91]",0.002
Education: Some College / Assoc.,1.36,"[1.24, 1.48]",< .001
Education: Bachelor’s,1.62,"[1.47, 1.77]",< .001
Education: Graduate,1.51,"[1.36, 1.68]",< .001
Orientation: SGM (ref: Straight),2.71,"[2.5, 2.95]",< .001
Insurance: Uninsured (ref: Insured),2.5,"[2.27, 2.75]",< .001
Year: 2021 (ref: 2020),0.96,"[0.86, 1.07]",0.490
Year: 2022,1.16,"[1.03, 1.29]",0.011
Year: 2023,1.36,"[1.22, 1.51]",< .001
Year: 2024,1.43,"[1.29, 1.59]",< .001
,,,
