Variable,"Overall (n = 109,256)","Not Delayed (n = 102,193)","Delayed (n = 7,063)",p
Table 1,,,,
"Weighted Sample Characteristics by Delayed Mental Health Care Due to Cost, NHIS 2020–2024",,,,
,,,,
"Age Group, n (%)",,,,< .001
  18–34,"24,794 (31.7%)",30.1%,53.7%,
  35–49,"25,601 (24.9%)",24.7%,27.8%,
  50–64,"27,265 (23.8%)",24.5%,14.2%,
  65+,"31,423 (19.6%)",20.8%,4.4%,
"Sex, n (%)",,,,< .001
  Male,"45,591 (44.5%)",45.5%,31.4%,
  Female,"63,651 (55.5%)",54.5%,68.6%,
"Race/Ethnicity, n (%)",,,,< .001
  NH White,"76,105 (65.5%)",65.5%,65.2%,
  Hispanic,"14,053 (15.6%)",15.6%,16.5%,
  NH Black,"10,459 (10.7%)",10.7%,10.7%,
  NH Asian,"5,681 (5.3%)",5.5%,3.4%,
  NH AIAN,"1,578 (1.4%)",1.4%,1.5%,
  NH Other/Multiracial,"1,379 (1.5%)",1.4%,2.7%,
"Education, n (%)",,,,< .001
  Less than High School,"7,947 (9.2%)",9.4%,5.7%,
  High School / GED,"25,523 (26.0%)",26.3%,21.8%,
  Some College / Associate,"31,026 (29.8%)",29.5%,32.9%,
  Bachelor's Degree,"26,696 (21.7%)",21.3%,26.5%,
  Graduate Degree,"17,623 (13.3%)",13.4%,13.1%,
"Sexual Orientation, n (%)",,,,< .001
  Straight,"99,932 (92.8%)",93.8%,79.3%,
  Gay or Lesbian,"2,605 (2.3%)",2.2%,3.9%,
  Bisexual,"2,733 (3.1%)",2.5%,12.0%,
  Queer or Questioning,"1,649 (1.8%)",1.6%,4.8%,
"Insurance Status, n (%)",,,,< .001
  Insured,"101,361 (90.9%)",91.6%,81.6%,
  Uninsured,"7,670 (9.1%)",8.4%,18.4%,
,,,,
Note. Estimates are weighted to represent the U.S. adult population. Unweighted n reported with weighted % for categorical variables. M = mean; SE = standard error. p-values from weighted chi-square tests (categorical variables) and weighted t-test (age). NHIS = National Health Interview Survey.,,,,
